,Unnamed: 0,Volume,Last,Chg,% Chg
0,Turbo Energy S.A. ADR (TURB),141.9M,12.4,9.7,359.26
1,ChowChow Cloud International Holdings Ltd. (CHOW),1.4M,12.61,8.61,215.25
2,FGI Industries Ltd. (FGI),41.4M,9.5,5.53,139.29
3,Flux Power Holdings Inc. (FLUX),7.6M,3.15,1.08,52.17
4,WEBTOON Entertainment Inc. (WBTN),8.8M,20.8,5.84,39.04
5,Kalaris Therapeutics Inc. (KLRS),420.5K,5.01,1.3,35.04
6,Alset Inc. (AEI),1.7M,4.27,1.06,33.02
7,Apollomics Inc. (APLM),171.4K,12.18,2.89,31.11
8,Lee Enterprises Inc. (LEE),593.8K,5.88,1.36,30.09
9,Lazydays Holdings Inc. (GORV),27.2M,3.06,0.61,24.9
10,Senmiao Technology Ltd. (AIHS),44.7M,2.67,0.52,24.19
11,Abits Group Inc. (ABTS),76.8K,5.39,1.02,23.35
12,QMMM Holdings Ltd. Cl A (QMMM),575.7K,88.0,16.25,22.65
13,Helius Medical Technologies Inc. (HSDT),2.0M,22.33,4.06,22.22
14,Jumia Technologies AG ADR (JMIA),13.8M,11.91,2.12,21.65
15,QVC Group Inc. Series A (QVCGA),285.6K,14.42,2.31,19.12
16,Fitness Champs Holdings Ltd. (FCHL),876.2K,6.17,0.98,18.88
17,Check-Cap Ltd. (CHEK),17.8M,2.52,0.4,18.87
18,Mercurity Fintech Holding Inc. (MFH),201.6K,9.54,1.51,18.8
19,China Natural Resources Inc. (CHNR),105.7K,5.03,0.78,18.45
20,Shineco Inc. (SISI),744.0K,7.76,1.17,17.75
21,ATA Creativity Global ADR (AACG),193.9K,2.55,0.38,17.51
22,C3is Inc. (CISS),325.9K,2.65,0.39,17.26
23,Sonnet BioTherapeutics Holdings Inc. (SONN),5.1M,6.48,0.94,16.97
24,BigBear.ai Holdings Inc. (BBAI),213.1M,5.94,0.85,16.7
25,Bitfarms Ltd. (BITF),156.4M,2.89,0.41,16.53
26,Prime Medicine Inc. (PRME),5.1M,4.67,0.66,16.46
27,Aeluma Inc. (ALMU),323.1K,17.11,2.41,16.39
28,Antelope Enterprise Holdings Ltd. (AEHL),1.1M,3.34,0.46,15.97
29,Laser Photonics Corp. (LASE),1.3M,2.8,0.36,14.75
30,Top KingWin Ltd. (WAI),359.2K,3.49,0.44,14.43
31,Aqua Metals Inc. (AQMS),200.6K,4.07,0.48,13.53
32,Beeline Holdings Inc. (BLNE),4.1M,3.87,0.46,13.49
33,Entero Therapeutics Inc. (ENTO),393.1K,4.06,0.47,13.09
34,LiqTech International Inc. (LIQT),61.6K,2.83,0.32,12.75
35,Elicio Therapeutics Inc. (ELTX),59.7K,11.35,1.27,12.6
36,NGL Energy Partners LP (NGL),1.2M,6.47,0.72,12.52
37,Health In Tech Inc. Cl A (HIT),329.8K,2.93,0.32,12.26
38,Skyline Builders Group Holding Ltd. Cl A (SKBL),1.1M,2.32,0.25,12.08
39,Brainsway Ltd. ADR (BWAY),220.9K,16.89,1.79,11.89
40,NaaS Technology Inc. ADR (NAAS),118.1K,3.55,0.37,11.63
41,Alzamend Neuro Inc. (ALZN),481.2K,2.62,0.27,11.49
42,Insight Molecular Diagnostics Inc. (IMDX),117.9K,3.44,0.35,11.33
43,Seres Therapeutics Inc. (MCRB),154.4K,17.4,1.71,10.9
44,PagSeguro Digital Ltd. Cl A (PAGS),11.0M,10.74,1.04,10.72
45,Cerence Inc. (CRNC),4.6M,11.36,1.1,10.72
46,Brera Holdings PLC (BREA),4.5M,7.58,0.73,10.66
47,American Resources Corp. (AREC),6.6M,2.71,0.26,10.61
48,Baytex Energy Corp. (BTE),40.2M,2.61,0.25,10.59
49,Delek US Holdings Inc. (DK),2.5M,31.45,2.97,10.43
50,Advent Technologies Holdings Inc. (ADN),229.7K,3.19,0.3,10.38
51,Steakholder Foods Ltd. ADR (STKH),5.4M,5.47,0.51,10.28
52,LG Display Co. Ltd. ADR (LPL),998.5K,4.96,0.46,10.22
53,Children's Place Inc. (PLCE),830.7K,7.91,0.72,10.01
54,Calumet Inc. (CLMT),1.8M,19.26,1.75,9.99
55,Pixelworks Inc. (PXLW),102.9K,11.09,1.0,9.91
56,Ceragon Networks Ltd. (CRNT),1.3M,2.23,0.2,9.85
57,PBF Energy Inc. (PBF),3.6M,30.62,2.7,9.67
58,AbCellera Biologics Inc. (ABCL),5.2M,4.77,0.42,9.66
59,Corbus Pharmaceuticals Holdings Inc. (CRBP),439.6K,10.27,0.9,9.61
60,Reborn Coffee Inc. (REBN),234.7K,2.74,0.24,9.6
61,SEACOR Marine Holdings Inc. (SMHI),222.9K,7.08,0.62,9.6
62,MicroAlgo Inc. (MLGO),1.3M,10.01,0.87,9.52
63,Digi Power X Inc. (DGXX),1.2M,2.78,0.24,9.45
64,Bloom Energy Corp. (BE),14.1M,73.29,6.27,9.36
65,Nukkleus Inc. (NUKK),18.6M,5.63,0.48,9.32
66,Castor Maritime Inc. (CTRM),138.0K,2.23,0.19,9.32
67,Cheetah Mobile Inc. ADR (CMCM),117.8K,8.6,0.73,9.28
68,American Bitcoin Corp. (ABTC),7.1M,7.73,0.66,9.26
69,Falcon's Beyond Global Inc. (FBYD),53.1K,11.49,0.97,9.22
70,Amprius Technologies Inc. (AMPX),11.6M,9.14,0.77,9.2
71,Huize Holding Ltd. ADR (HUIZ),191.5K,3.85,0.32,9.07
72,Skillsoft Corp. (SKIL),110.3K,14.13,1.17,9.03
73,Pineapple Financial Inc. (PAPL),107.9K,6.07,0.5,8.98
74,CVR Energy Inc. (CVI),2.8M,33.18,2.71,8.89
75,Stem Inc. (STEM),345.7K,16.54,1.35,8.89
76,CleanSpark Inc. (CLSK),29.6M,11.2,0.91,8.84
77,Cimpress PLC (CMPR),517.2K,62.65,5.06,8.79
78,Dermata Therapeutics Inc. (DRMA),139.4K,5.9,0.47,8.75
79,Curanex Pharmaceuticals Inc. (CURX),4.4M,9.16,0.73,8.66
80,Coffee Holding Co. Inc. (JVA),126.7K,4.78,0.38,8.64
81,DevvStream Corp. (DEVS),263.4K,2.9,0.23,8.61
82,USA Rare Earth Inc. (USAR),9.2M,14.92,1.18,8.59
83,Yimutian Inc. ADR (YMT),55.4K,2.29,0.18,8.53
84,Babcock & Wilcox Enterprises Inc. (BW),4.6M,3.2,0.25,8.47
85,Figure Technology Solutions Inc. (FIGR),8.1M,40.48,3.15,8.44
86,Sayona Mining Ltd. ADR (ELVR),146.8K,17.46,1.35,8.38
87,Precigen Inc. (PGEN),9.3M,3.89,0.3,8.36
88,Smart Digital Group Ltd. (SDM),5.7M,12.94,0.99,8.28
